,id,GRB_name_Fermi,trigger_name,ra,decl,pos_error,datum,t_trigger,T90,T90_error,T90_start,fluence,fluence_error,flux_1024,flux_1024_error,flux_1024_time,flux_64,flux_64_error,redshift
0,1,GRB120403857,bn120403857,55.33833333333334,-89.00916666666667,7.874695594545998,2012-04-03,74038.493,4.288,1.935,-3.968,2.3964e-07,2.0458e-08,1.7469,0.2388,-0.896,2.6136,1.0348,
1,2,GRB120227725,bn120227725,256.73,-88.86,2.558592715774908,2012-02-27,62681.054,17.408,0.81,0.256,2.1949e-05,1.0403e-07,18.4653,0.9121,7.04,29.1086,5.0468,
2,3,GRB141205018,bn141205018,294.61,-87.58,3.9540863586701085,2014-12-05,1529.813,13.056,1.28,-6.912,1.6031e-06,4.1267e-08,2.1505,0.2804,5.184,4.6669,1.8177,
3,4,GRB180630467,bn180630467,48.95875,-87.4786111111111,2.7596019285320814,2018-06-30,40314.405,12.032,1.864,-2.048,2.988e-06,3.2537e-08,9.4128,0.3923,1.152,12.8245,1.8405,
4,5,GRB170116238,bn170116238,72.94,-87.43,11.057517950301081,2017-01-16,20595.259,9.216,3.62,-1.024,1.1231e-06,9.1975e-08,5.4422,0.5562,-0.96,9.7566,3.5748,
5,6,GRB091026550,bn091026550,276.5729166666667,-86.11138888888888,5.006172663704804,2009-10-26,47493.02,8.96,1.379,-5.12,1.3765e-06,7.1983e-08,3.8566,0.4945,-3.2,8.6651,2.4015,
6,7,GRB150312403,bn150312403,285.49000000000007,-86.0,7.535619148894523,2015-03-12,34845.706,0.32,0.547,-0.064,1.4018e-07,1.9221e-08,0.9922,0.1863,-0.512,6.0095,0.9938,
7,8,GRB110520302,bn110520302,71.01,-85.93,5.3297040116533925,2011-05-20,26066.237,12.288,11.336,-10.496,1.0428e-06,5.1064e-08,2.8838,0.3491,-1.536,5.7012,1.9801,
8,9,GRB121216419,bn121216419,13.879999999999999,-85.44,10.354732570361493,2012-12-16,36196.45,9.216,2.56,-2.048,3.8503e-07,2.4751e-08,1.8541,0.2046,-0.192,3.4977,1.0731,
9,10,GRB200107810,bn200107810,107.06583333333333,-83.7161111111111,5.664342785060242,2020-01-07,69982.806,81.154,1.086,-17.92,4.0811e-06,2.1979e-08,3.2756,0.2482,41.153,4.9542,1.1367,
10,11,GRB101227195,bn101227195,186.79,-83.55,5.924137889121945,2010-12-27,16828.716,95.488,1.639,-0.768,3.4308e-06,9.0213e-08,4.1583,0.3935,93.824,7.6873,1.8759,
11,12,GRB200607921,bn200607921,41.330000000000005,-83.33,2.6735193073944017,2020-06-07,79591.425,26.625,1.305,0.576,1.1548e-05,3.7659e-08,6.3797,0.2709,1.28,7.8758,1.2651,
