,Unnamed: 0,id,GRB_name,GRB_name_Fermi,T0,T0_source,ra,ra_source,decl,decl_source,pos_error,pos_error_source,T90,T90_source,T90_error,T90_error_source,T90_start,T90_start_source,fluence,fluence_source,fluence_error,fluence_error_source,redshift,redshift_source,T100,GBM_located,mjd,mjd_source,Alpha,Alpha_err_pos,Alpha_err_neg
0,84,85,GRB080905A,GRB080905499,43134.0,"GCN_circulars,Swift Det",287.67408333333333,Swift,-18.880166666666668,Swift,0.0002071069341265,Swift,0.96,Fermi_GBM,0.345,Fermi_GBM,43134.974,Fermi_GBM,8.5046e-07,Fermi_GBM,4.6217e-08,Fermi_GBM,0.1218,,1.934,0,54714.49923611112,"GCN_circulars,Swift Det",0.1894479,0.4718503,0.4718503
1,85,86,GRB080905B,GRB080905705,60941.723,Fermi_GBM,301.74120833333336,Swift,-62.56305555555556,Swift,9.06092836803498e-05,Swift,105.984,Fermi_GBM,6.802,Fermi_GBM,60941.723,Fermi_GBM,2.9093e-06,Fermi_GBM,3.6346e-08,Fermi_GBM,2.374,,131.277,0,54714.705344016205,Fermi_GBM,-0.8522729,0.2608214,0.2608214
2,93,94,GRB080916A,GRB080916406,35118.0,"GCN_circulars,Fermi GBM Det",336.2758333333333,Swift,-57.02302777777778,Swift,6.472091691453557e-05,Swift,46.337,Fermi_GBM,7.173,Fermi_GBM,35119.450000000004,Fermi_GBM,7.8107e-06,Fermi_GBM,8.1758e-08,Fermi_GBM,0.689,,62.0,0,54725.40645833333,"GCN_circulars,Fermi GBM Det",-0.7807099,0.1424407,0.1424407
3,101,102,GRB080928A,GRB080928628,54092.0,"GCN_circulars,Swift Det",95.07015,Swift,-55.19970833333333,Swift,6.472091691453557e-05,Swift,14.336,Fermi_GBM,4.007,Fermi_GBM,54294.256,Fermi_GBM,1.165e-06,Fermi_GBM,3.7608e-08,Fermi_GBM,1.692,Swift,280.0,0,54737.626064814816,"GCN_circulars,Swift Det",-1.458193,0.3105181,0.3105181
4,109,110,GRB081008A,GRB081008832,71881.799,Fermi_GBM,279.9578208333333,Swift,-57.431352777777775,Swift,7.766510029744268e-05,Swift,126.722,Fermi_GBM,2.36,Fermi_GBM,71882.567,Fermi_GBM,4.1957e-06,Fermi_GBM,5.3506e-08,Fermi_GBM,1.967,,192.701,0,54747.8319652662,Fermi_GBM,-1.011235,0.2595742,0.2595742
5,132,133,GRB081109A,GRB081109293,25315.503,Fermi_GBM,330.7899125,Swift,-54.71124722222222,Swift,0.0001035534670632,Swift,58.369,Fermi_GBM,5.221,Fermi_GBM,25315.503,Fermi_GBM,6.5456e-06,Fermi_GBM,5.8667e-08,Fermi_GBM,0.9787,IPN,200.497,0,54779.293003506944,Fermi_GBM,-0.1899425,22.10149,22.10149
6,137,138,GRB081121A,GRB081121858,74127.5,"GCN_circulars,Fermi GBM Det",89.275625,Swift,-60.602777777777774,Swift,7.766510029744268e-05,Swift,41.985,Fermi_GBM,8.51,Fermi_GBM,74129.29,Fermi_GBM,1.5272e-05,Fermi_GBM,2.1998e-07,Fermi_GBM,2.512,,43.775,0,54791.857957175926,"GCN_circulars,Fermi GBM Det",-0.4351371,0.3142671,0.3142671
7,167,168,GRB081221A,GRB081221681,58871.0,"GCN_circulars,Swift Det",15.792708333333332,Swift,-24.54813888888889,Swift,0.0001812185673606,Swift,29.697,Fermi_GBM,0.41,Fermi_GBM,58875.546,Fermi_GBM,3.0037e-05,Fermi_GBM,8.6881e-08,Fermi_GBM,2.26,,34.243,0,54821.68137731482,"GCN_circulars,Swift Det",-0.8387346,0.07100931,0.07100931
8,168,169,GRB081222A,GRB081222204,17639.0,"GCN_circulars,Swift Det",22.73995833333333,Swift,-34.094858333333335,Swift,6.472091691453557e-05,Swift,18.88,Fermi_GBM,2.318,Fermi_GBM,17640.64,Fermi_GBM,1.1887e-05,Fermi_GBM,9.5653e-08,Fermi_GBM,2.77,,24.0,0,54822.20415509259,"GCN_circulars,Swift Det",-0.8443683,0.1135384,0.1135384
9,177,178,GRB090102A,GRB090102122,10530.846,Fermi_GBM,128.24391666666668,Swift,33.114222222222224,Swift,0.0001423860172119,Swift,26.624,Fermi_GBM,0.81,Fermi_GBM,10532.382,Fermi_GBM,2.7909e-05,Fermi_GBM,6.1005e-08,Fermi_GBM,1.547,"GCN_circulars,Optical",41.154,0,54833.12188479167,Fermi_GBM,-0.9345439,0.07140389,0.07140389
10,188,189,GRB090113A,GRB090113778,67238.79400000001,Fermi_GBM,32.057500000000005,Swift,33.428416666666664,Swift,0.0001941627507436,Swift,17.408,Fermi_GBM,3.238,Fermi_GBM,67238.79400000001,Fermi_GBM,1.5738e-06,Fermi_GBM,4.83e-08,Fermi_GBM,1.7493,,17.408,0,54844.77822678241,Fermi_GBM,-1.182721,0.1908257,0.1908257
11,235,236,GRB090323A,GRB090323002,162.0,Fermi_LAT,190.70955,Fermi_LAT,17.053306,Fermi_LAT,1.39e-05,Fermi_LAT,133.89,Fermi_GBM,0.572,Fermi_GBM,171.33100000000002,Fermi_GBM,0.00010833,Fermi_GBM,4.1606e-08,Fermi_GBM,3.57,,143.221,0,54913.001875,Fermi_LAT,-1.183079,0.05673534,0.05673534
12,239,240,GRB090328A,GRB090328401,34606.0,Fermi_LAT,90.665292,Fermi_LAT,-41.881611,Fermi_LAT,6.94425e-05,Fermi_LAT,61.697,Fermi_GBM,1.81,Fermi_GBM,34610.863,Fermi_GBM,4.2022e-05,Fermi_GBM,6.5336e-08,Fermi_GBM,0.736,,66.56,0,54918.40053240741,Fermi_LAT,-1.082825,0.03896242,0.03896242
13,264,265,GRB090423A,GRB090423330,28519.0,"GCN_circulars,Swift Det",148.88858333333334,Swift,18.149416666666667,Swift,0.0001812185673606,Swift,7.168,Fermi_GBM,2.415,Fermi_GBM,28519.506,Fermi_GBM,8.164e-07,Fermi_GBM,7.15e-08,Fermi_GBM,8.0,"GCN_circulars,GROND",10.3,0,54944.33008101852,"GCN_circulars,Swift Det",-0.5529365,0.4890429,0.4890429
14,265,266,GRB090424A,GRB090424592,50892.67,"GCN_circulars,Fermi GBM Det",189.52129166666668,Swift,16.837527777777776,Swift,9.578695703351264e-05,Swift,14.144,Fermi_GBM,0.264,Fermi_GBM,51129.177,Fermi_GBM,4.6323e-05,Fermi_GBM,3.8592e-08,Fermi_GBM,0.544,"GCN_circulars,Other",284.33,0,54945.58903553241,"GCN_circulars,Fermi GBM Det",-1.021866,0.02356583,0.02356583
15,280,281,GRB090510A,GRB090510016,1379.0,Fermi_LAT,333.55208333333337,Swift,-26.583111111111112,Swift,7.89595186357334e-05,Swift,0.96,Fermi_GBM,0.138,Fermi_GBM,1379.923,Fermi_GBM,3.3732e-06,Fermi_GBM,4.0576e-08,Fermi_GBM,0.903,"GCN_circulars,Optical",1.883,0,54961.01596064815,Fermi_LAT,-0.8436175,0.04780675,0.04780675
16,284,285,GRB090516A,GRB090516353,30440.203,Fermi_GBM,138.26049999999998,Swift,-11.854416666666667,Swift,0.0001941627507436,Swift,123.138,Fermi_GBM,2.064,Fermi_GBM,30440.203,Fermi_GBM,1.6267e-05,Fermi_GBM,7.9118e-08,Fermi_GBM,4.1045,,239.797,0,54967.352317164354,Fermi_GBM,-1.456042,0.4237399,0.4237399
17,290,291,GRB090519A,GRB090519881,76124.33700000001,Fermi_GBM,142.27908333333335,Swift,0.1801111111111111,Swift,0.0001941627507436,Swift,74.177,Fermi_GBM,5.177,Fermi_GBM,76124.33700000001,Fermi_GBM,5.7264e-06,Fermi_GBM,6.1164e-08,Fermi_GBM,3.875,,75.663,0,54970.88106871528,Fermi_GBM,-0.930611,0.2118177,0.2118177
18,319,320,GRB090618A,GRB090618353,30504.974,"GCN_circulars,Konus-Wind Det",293.9945416666667,Swift,78.35675,Swift,9.578695703351264e-05,Swift,112.386,Fermi_GBM,1.086,Fermi_GBM,30514.595,Fermi_GBM,0.00026845,Fermi_GBM,4.2894e-07,Fermi_GBM,0.54,,122.007,0,55000.35306682871,"GCN_circulars,Konus-Wind Det",-1.114409,0.03082234,0.03082234
19,382,383,GRB090902B,GRB090902462,39908.0,Fermi_LAT,264.93921,Fermi_LAT,27.324194,Fermi_LAT,0.000138885,Fermi_LAT,19.328,Fermi_GBM,0.286,Fermi_GBM,39911.129,Fermi_GBM,0.00022179,Fermi_GBM,3.1732e-07,Fermi_GBM,1.822,,22.457,0,55076.46189814815,Fermi_LAT,-1.007755,0.0086658,0.0086658
20,391,392,GRB090926A,GRB090926181,15626.0,Fermi_LAT,353.400154,Fermi_LAT,-66.324067,Fermi_LAT,3.05547e-05,Fermi_LAT,13.76,Fermi_GBM,0.286,Fermi_GBM,15629.163,Fermi_GBM,0.00014657,Fermi_GBM,3.4076e-07,Fermi_GBM,2.1062,"GCN_circulars,Other",16.923,0,55100.18085648148,Fermi_LAT,-0.8480111,0.02412319,0.02412319
21,392,393,GRB090926B,GRB090926914,78928.525,Fermi_GBM,46.308125,Swift,-39.006,Swift,0.0001812185673606,Swift,64.001,Fermi_GBM,1.557,Fermi_GBM,78929.549,Fermi_GBM,1.0534e-05,Fermi_GBM,2.7681e-08,Fermi_GBM,1.24,,129.175,0,55100.91352459491,Fermi_GBM,0.2346046,0.254303,0.254303
22,393,394,GRB090927A,GRB090927422,36436.0,"GCN_circulars,Swift Det",343.9725416666667,Swift,-70.98036111111111,Swift,8.154835531231482e-05,Swift,0.512,Fermi_GBM,0.231,Fermi_GBM,36437.022,Fermi_GBM,3.0258e-07,Fermi_GBM,1.8341e-08,Fermi_GBM,1.37,,2.2,0,55101.42171296296,"GCN_circulars,Swift Det",-0.7267829,1.07317,1.07317
23,396,397,GRB091003A,GRB091003191,16543.801,"GCN_circulars,Konus-Wind Det",251.5198,Fermi_LAT,36.6247,Fermi_LAT,0.000472209,Fermi_LAT,20.224,Fermi_GBM,0.362,Fermi_GBM,16546.416999999998,Fermi_GBM,2.3315e-05,Fermi_GBM,7.7664e-08,Fermi_GBM,0.8969,"GCN_circulars,Fermi LAT Other",22.84,0,55107.19147917824,"GCN_circulars,Konus-Wind Det",-1.071775,0.04386729,0.04386729
24,399,400,GRB091020A,GRB091020900,77800.233,Fermi_GBM,175.73,Swift,50.97833333333333,Swift,6.472091691453557e-05,Swift,24.256,Fermi_GBM,7.973,Fermi_GBM,77800.233,Fermi_GBM,8.3474e-06,Fermi_GBM,1.5013e-07,Fermi_GBM,1.71,,38.367,0,55124.900465659724,Fermi_GBM,-1.245058,0.2082678,0.2082678
25,400,401,GRB091024A,GRB091024372,32155.4,Fermi_GBM,339.24,Swift,56.885,Swift,0.0077665100297442,Swift,93.954,Fermi_GBM,5.221,Fermi_GBM,32155.4,Fermi_GBM,8.561e-06,Fermi_GBM,6.0053e-08,Fermi_GBM,1.092,,115.4,0,55128.372168981485,Fermi_GBM,-1.329399,0.2230813,0.2230813
26,413,414,GRB091127A,GRB091127976,84345.0,"GCN_circulars,Swift Det",36.582875,Swift,-18.95239722222222,Swift,7.119300860598914e-05,Swift,8.701,Fermi_GBM,0.571,Fermi_GBM,84345.48599999999,Fermi_GBM,2.0729e-05,Fermi_GBM,3.7006e-08,Fermi_GBM,0.49,"GCN_circulars,Swift Other",9.187,0,55162.97621527778,"GCN_circulars,Swift Det",-1.254486,0.09400594,0.09400594
27,422,423,GRB091208B,GRB091208410,35397.0,Fermi_LAT,29.392208,Fermi_LAT,16.889722,Fermi_LAT,0.0,Fermi_LAT,12.48,Fermi_GBM,5.018,Fermi_GBM,35397.828,Fermi_GBM,6.1939e-06,Fermi_GBM,1.904e-07,Fermi_GBM,1.063,,14.9,0,55173.4096875,Fermi_LAT,-0.6151726,0.08014047,0.08014047
28,429,430,GRB100117A,GRB100117879,75979.0,"GCN_circulars,Swift Det",11.269,Swift,-1.5949166666666668,Swift,0.0003106604011897,Swift,0.256,Fermi_GBM,0.834,Fermi_GBM,75979.599,Fermi_GBM,4.2261e-07,Fermi_GBM,6.9345e-08,Fermi_GBM,0.92,IPN,0.855,0,55213.87938657407,"GCN_circulars,Swift Det",-0.1015688,0.5208668,0.5208668
29,437,438,GRB100206A,GRB100206563,48605.0,"GCN_circulars,Swift Det",47.162625,Swift,13.157027777777778,Swift,0.0004271580516359,Swift,0.176,Fermi_GBM,0.072,Fermi_GBM,48605.374,Fermi_GBM,7.5657e-07,Fermi_GBM,1.054e-08,Fermi_GBM,0.41,"GCN_circulars,Other",0.55,0,55233.56255787037,"GCN_circulars,Swift Det",-0.3208216,0.1680796,0.1680796
30,443,444,GRB100216A,GRB100216422,36420.0,Swift,154.263,Swift,35.524,Swift,0.0232995300892328,Swift,0.192,Fermi_GBM,0.143,Fermi_GBM,36420.123,Fermi_GBM,3.8763e-07,Fermi_GBM,1.4576e-08,Fermi_GBM,0.038,"GCN_circulars,Swift-BAT Det",0.315,0,55243.42152777778,Swift,0.7718957,1.332731,1.332731
31,463,464,GRB100413A,GRB100413732,63208.0,"GCN_circulars,Swift Det",266.2214166666667,Swift,15.834194444444444,Swift,0.0001812185673606,Swift,184.067,Fermi_GBM,7.786,Fermi_GBM,63212.436,Fermi_GBM,8.9809e-06,Fermi_GBM,9.3272e-08,Fermi_GBM,3.9,Swift,191.0,0,55299.73157407408,"GCN_circulars,Swift Det",-1.224273,0.5061957,0.5061957
32,465,466,GRB100414A,GRB100414097,8421.0,Fermi_LAT,192.12483,Fermi_LAT,8.6930306,Fermi_LAT,0.000138885,Fermi_LAT,26.497,Fermi_GBM,2.073,Fermi_GBM,8423.842,Fermi_GBM,8.8469e-05,Fermi_GBM,1.864e-07,Fermi_GBM,1.368,,29.339,0,55300.09746527778,Fermi_LAT,-0.6241747,0.04530507,0.04530507
33,488,489,GRB100615A,GRB100615083,7143.0,"GCN_circulars,Swift Det",177.20541666666668,Swift,-19.481166666666667,Swift,0.0001812185673606,Swift,37.377,Fermi_GBM,0.979,Fermi_GBM,7144.691,Fermi_GBM,8.7234e-06,Fermi_GBM,8.1997e-08,Fermi_GBM,1.398,"GCN_circulars,Swift-XRT Other",39.068,0,55362.08267361111,"GCN_circulars,Swift Det",-0.9064326,0.4405968,0.4405968
34,491,492,GRB100625A,GRB100625773,66747.799,"GCN_circulars,Konus-Wind Det",15.795458333333332,Swift,-39.08844444444444,Swift,0.0002329953008923,Swift,0.24,Fermi_GBM,0.276,Fermi_GBM,66748.37599999999,Fermi_GBM,5.6346e-07,Fermi_GBM,2.4515e-08,Fermi_GBM,0.452,IPN,0.817,0,55372.77254396991,"GCN_circulars,Konus-Wind Det",-0.5933414,0.5608718,0.5608718
35,495,496,GRB100704A,GRB100704149,12903.799,Fermi_GBM,133.64149999999998,Swift,-24.20280555555556,Swift,0.0001812185673606,Swift,171.523,Fermi_GBM,2.673,Fermi_GBM,12903.799,Fermi_GBM,8.3883e-06,Fermi_GBM,5.8907e-08,Fermi_GBM,3.6,Swift,201.701,0,55381.14934952546,Fermi_GBM,-0.9273553,0.1214833,0.1214833
36,506,507,GRB100728A,GRB100728095,8250.0,Fermi_LAT,88.758375,Fermi_LAT,-15.255667,Fermi_LAT,0.000138885,Fermi_LAT,165.378,Fermi_GBM,2.896,Fermi_GBM,8263.923,Fermi_GBM,0.00012788,Fermi_GBM,5.7601e-07,Fermi_GBM,1.567,"GCN_circulars,Konus-Wind Det",252.5,0,55405.09548611111,Fermi_LAT,-0.5096754,0.09827042,0.09827042
37,507,508,GRB100728B,GRB100728439,37912.926,Fermi_GBM,44.056112500000005,Swift,0.2811611111111111,Swift,6.730975359111699e-05,Swift,10.24,Fermi_GBM,1.846,Fermi_GBM,37912.926,Fermi_GBM,3.3388e-06,Fermi_GBM,6.4695e-08,Fermi_GBM,2.453,,14.174,0,55405.43880701389,Fermi_GBM,-1.449998,110.4198,110.4198
38,511,512,GRB100814A,GRB100814160,13808.809,Fermi_GBM,22.473375,Swift,-17.995444444444445,Swift,7.766510029744268e-05,Swift,150.53,Fermi_GBM,1.619,Fermi_GBM,13809.384999999998,Fermi_GBM,1.4938e-05,Fermi_GBM,9.4719e-08,Fermi_GBM,1.44,,176.691,0,55422.15982417824,Fermi_GBM,-0.2419193,0.4764232,0.4764232
39,512,513,GRB100816A,GRB100816026,2270.94,"GCN_circulars,Fermi GBM Det",351.7398333333333,Swift,26.578333333333333,Swift,6.472091691453557e-05,Swift,2.045,Fermi_GBM,0.229,Fermi_GBM,2270.947,Fermi_GBM,3.6504e-06,Fermi_GBM,5.3147e-08,Fermi_GBM,0.8035,"GCN_circulars,Other",2.96,0,55424.02628402778,"GCN_circulars,Fermi GBM Det",-0.3178162,0.09741139,0.09741139
