,id,GRB_name,GRB_name_Fermi,T0,T0_source,ra,ra_source,decl,decl_source,pos_error,pos_error_source,T90,T90_source,T90_error,T90_error_source,T90_start,T90_start_source,fluence,fluence_source,fluence_error,fluence_error_source,redshift,redshift_source,T100,GBM_located,mjd,mjd_source
0,1,GRB150702A,GRB150702998,86197.55,Fermi_LAT,52.78,Fermi_LAT,-57.0,Fermi_LAT,0.36,Fermi_LAT,45.825,Fermi_GBM,2.064,Fermi_GBM,86199.895,Fermi_GBM,1.1741e-05,Fermi_GBM,5.4028e-08,Fermi_GBM,,,48.17,0,57205.9976568287,Fermi_LAT
1,2,GRB080120A,,62910.0,"GCN_circulars,INTEGRAL",225.2875,IPN,-10.9,IPN,0.051666666666666666,IPN,,,,,,,,,,,,,,0,54485.728125,"GCN_circulars,INTEGRAL"
2,3,GRB080123A,,15717.0,"GCN_circulars,Swift Det",338.94308333333333,Swift,-64.90088888888889,Swift,0.00022005111750942092,Swift,115.0,Swift,,,15717.0,Swift,5.699999999999999e-07,Swift,,,,,115.0,0,54488.181909722225,"GCN_circulars,Swift Det"
3,4,GRB080121A,,77395.0,Swift,137.235,Swift,41.841,Swift,0.023299530089232804,Swift,0.7,Swift,,,77395.0,Swift,3e-08,Swift,,,0.046,"GCN_circulars,Swift-BAT Det",0.7,0,54486.89577546297,Swift
4,5,GRB080122A,,66764.0,"GCN_circulars,IPN Triangulation",191.35000000000002,IPN,27.016666666666666,IPN,1.6666666666666667,IPN,,,,,,,,,,,,,,0,54487.772731481484,"GCN_circulars,IPN Triangulation"
5,6,GRB080129A,,22005.0,"GCN_circulars,Swift Det",105.28404166666667,Swift,-7.846277777777778,Swift,0.00018121856736069957,Swift,48.0,Swift,,,22005.0,Swift,8.9e-07,Swift,,,4.349,IPN,48.0,0,54494.2546875,"GCN_circulars,Swift Det"
6,7,GRB080130A,,40439.0,Swift,261.61975,Swift,-53.18669444444444,Swift,0.0005954324356137272,Swift,65.0,Swift,,,40439.0,Swift,7.699999999999999e-07,Swift,,,,,65.0,0,54495.468043981484,Swift
7,8,GRB080205A,,28551.0,"GCN_circulars,Swift Det",98.25258333333332,Swift,62.79221666666667,Swift,6.472091691453557e-05,Swift,106.5,Swift,,,28551.0,Swift,2.1e-06,Swift,,,,,106.5,0,54501.33045138889,"GCN_circulars,Swift Det"
8,9,GRB080204A,,50192.0,"GCN_circulars,IPN Triangulation",285.566,"GCN_circulars,IPN Triangulation",-62.896,"GCN_circulars,IPN Triangulation",,,,,,,,,,,,,,,,0,54500.580925925926,"GCN_circulars,IPN Triangulation"
9,10,GRB080207A,,77421.0,"GCN_circulars,Swift Det",207.51220833333332,Swift,7.502194444444444,Swift,0.00018121856736069957,Swift,340.0,Swift,,,77421.0,Swift,6.1e-06,Swift,,,2.0858,,340.0,0,54503.89607638889,"GCN_circulars,Swift Det"
10,11,GRB080210A,,28205.0,"GCN_circulars,Swift Det",251.26670833333336,Swift,13.826638888888889,Swift,7.766510029744268e-05,Swift,45.0,Swift,,,28205.0,Swift,1.8e-06,Swift,,,2.641,,45.0,0,54506.32644675926,"GCN_circulars,Swift Det"
11,12,GRB080212A,,63273.0,"GCN_circulars,Swift Det",231.1474166666667,Swift,-22.741694444444445,Swift,0.00018121856736069957,Swift,123.0,Swift,,,63273.0,Swift,2.8999999999999998e-06,Swift,,,,,123.0,0,54508.73232638889,"GCN_circulars,Swift Det"
12,13,GRB080211A,,26620.0,"GCN_circulars,IPN Triangulation",43.96666666666667,IPN,60.03333333333333,IPN,1.0833333333333333,IPN,,,,,,,,,,,,,,0,54507.30810185185,"GCN_circulars,IPN Triangulation"
13,14,GRB080218A,,72522.0,"GCN_circulars,Swift Det",355.941,Swift,12.159,Swift,0.01941627507436067,Swift,27.6,Swift,,,72522.0,Swift,6.3e-07,Swift,,,,,27.6,0,54514.839375,"GCN_circulars,Swift Det"
14,15,GRB080218B,,86267.0,"GCN_circulars,Swift Det",177.95687500000003,Swift,-53.096805555555555,Swift,0.00020710693412651383,Swift,6.2,Swift,,,86267.0,Swift,5.1e-07,Swift,,,,,6.2,0,54514.998460648145,"GCN_circulars,Swift Det"
15,16,GRB080229A,,61499.0,"GCN_circulars,Swift Det",228.21775,Swift,-14.704472222222222,Swift,0.00018121856736069957,Swift,64.0,Swift,,,61499.0,Swift,9e-06,Swift,,,,,64.0,0,54525.71179398148,"GCN_circulars,Swift Det"
16,17,GRB080229B,,84781.0,"GCN_circulars,superAGILE",199.2208333333333,IPN,-64.88333333333334,IPN,0.05,IPN,,,,,,,,,,,,,,0,54525.981261574074,"GCN_circulars,superAGILE"
17,18,GRB080303A,,33035.0,"GCN_circulars,Swift Det",112.05891666666666,Swift,-70.23380555555555,Swift,7.766510029744268e-05,Swift,67.0,Swift,,,33035.0,Swift,6.599999999999999e-07,Swift,,,,,67.0,0,54528.38234953704,"GCN_circulars,Swift Det"
18,19,GRB080307A,,41010.0,"GCN_circulars,Swift Det",136.62866666666667,Swift,35.13875,Swift,0.00018121856736069957,Swift,125.9,Swift,,,41010.0,Swift,8.699999999999999e-07,Swift,,,,,125.9,0,54532.474652777775,"GCN_circulars,Swift Det"
19,20,GRB080310A,,31078.0,"GCN_circulars,Swift Det",220.0575,Swift,-0.1748888888888889,Swift,7.766510029744268e-05,Swift,365.0,Swift,,,31078.0,Swift,2.3e-06,Swift,,,2.42,"GCN_circulars,Swift-UVOT Other",365.0,0,54535.35969907408,"GCN_circulars,Swift Det"
20,21,GRB080315A,,8701.0,"GCN_circulars,Swift Det",155.124,Swift,41.701,Swift,0.025629483098156082,Swift,65.0,Swift,,,8701.0,Swift,1.3999999999999998e-07,Swift,,,,,65.0,0,54540.10070601852,"GCN_circulars,Swift Det"
21,22,GRB080319A,,20742.0,"GCN_circulars,Swift Det",206.33320833333335,Swift,44.08002777777778,Swift,0.00022005111750942092,Swift,64.0,Swift,,,20742.0,Swift,4.8e-06,Swift,,,2.0265,IPN,64.0,0,54544.240069444444,"GCN_circulars,Swift Det"
22,23,GRB080319B,,22369.0,"GCN_circulars,Swift Det",217.92075,Swift,36.30244444444445,Swift,6.472091691453557e-05,Swift,,,,,,,8.099999999999999e-05,Swift,,,0.937,"GCN_circulars,Swift-BAT Det",,0,54544.25890046296,"GCN_circulars,Swift Det"
23,24,GRB080319C,,44756.0,"GCN_circulars,Swift Det",258.9812083333333,Swift,55.39183333333333,Swift,6.86041719294077e-05,Swift,34.0,Swift,,,44756.0,Swift,3.6e-06,Swift,,,1.95,"GCN_circulars,Other",34.0,0,54544.518009259256,"GCN_circulars,Swift Det"
24,25,GRB080319D,,61509.0,"GCN_circulars,Swift Det",99.47333333333333,Swift,23.942833333333333,Swift,6.472091691453557e-05,Swift,24.0,Swift,,,61509.0,Swift,3.2e-07,Swift,,,,,24.0,0,54544.711909722224,"GCN_circulars,Swift Det"
25,26,GRB080320A,,16658.0,"GCN_circulars,Swift Det",177.7351666666667,Swift,57.15672222222222,Swift,0.00018121856736069957,Swift,14.0,Swift,,,16658.0,Swift,2.7e-07,Swift,,,,,14.0,0,54545.19280092593,"GCN_circulars,Swift Det"
26,27,GRB080325A,,14957.0,"GCN_circulars,Swift Det",277.89300000000003,Swift,36.52388888888889,Swift,0.00022005111750942092,Swift,128.4,Swift,,,14957.0,Swift,4.9e-06,Swift,,,1.78,IPN,128.4,0,54550.173113425924,"GCN_circulars,Swift Det"
27,28,GRB080328A,,28982.306,"GCN_circulars,Konus-Wind Det",80.48279166666666,Swift,47.51094444444445,Swift,7.766510029744268e-05,Swift,90.6,Swift,,,28984.0,Swift,9.4e-06,Swift,,,,,92.294,0,54553.33544335648,"GCN_circulars,Konus-Wind Det"
28,29,GRB080330A,,13276.0,"GCN_circulars,Swift Det",169.2687916666667,Swift,30.622805555555555,Swift,0.00012944183382907113,Swift,61.0,Swift,,,13276.0,Swift,3.4e-07,Swift,,,1.51,"GCN_circulars,Optical",61.0,0,54555.153657407405,"GCN_circulars,Swift Det"
29,30,GRB080408A,,65568.0,"GCN_circulars,superAGILE",114.67916666666667,IPN,33.3,IPN,0.05,IPN,,,,,,,,,,,,,,0,54564.758888888886,"GCN_circulars,superAGILE"
30,31,GRB080409A,,4977.0,"GCN_circulars,Swift Det",84.330375,Swift,5.0849166666666665,Swift,0.00020710693412651383,Swift,20.2,Swift,,,4977.0,Swift,6.1e-07,Swift,,,,,20.2,0,54565.057604166665,"GCN_circulars,Swift Det"
31,32,GRB080411A,,76532.0,"GCN_circulars,Swift Det",37.979958333333336,Swift,-71.30202777777778,Swift,6.472091691453557e-05,Swift,56.0,Swift,,,76532.0,Swift,2.6399999999999998e-05,Swift,,,1.03,"GCN_circulars,Optical",56.0,0,54567.885787037034,"GCN_circulars,Swift Det"
32,33,GRB080413A,,10459.0,"GCN_circulars,Swift Det",287.299,Swift,-27.677852777777776,Swift,6.472091691453557e-05,Swift,46.0,Swift,,,10459.0,Swift,3.5e-06,Swift,,,2.433,,46.0,0,54569.12105324074,"GCN_circulars,Swift Det"
33,34,GRB080413B,,31872.0,"GCN_circulars,Swift Det",326.14437499999997,Swift,-19.98122222222222,Swift,6.472091691453557e-05,Swift,8.0,Swift,,,31872.0,Swift,3.2e-06,Swift,,,1.1,,8.0,0,54569.36888888889,"GCN_circulars,Swift Det"
34,35,GRB080414A,,81212.0,"GCN_circulars,INTEGRAL",272.125,IPN,-18.866666666666667,IPN,0.03333333333333333,IPN,,,,,,,,,,,,,,0,54570.9399537037,"GCN_circulars,INTEGRAL"
35,36,GRB080420A,,15167.0,"GCN_circulars,Swift Det",152.639,"GCN_circulars,Swift Det",43.242,"GCN_circulars,Swift Det",,,,,,,,,,,,,,,,0,54576.17554398148,"GCN_circulars,Swift Det"
36,37,GRB080426A,,48202.0,"GCN_circulars,Swift Det",26.499166666666667,Swift,69.4685,Swift,0.0001941627507436067,Swift,1.7,Swift,,,48202.0,Swift,3.7e-07,Swift,,,,,1.7,0,54582.55789351852,"GCN_circulars,Swift Det"
37,38,GRB080430A,,71582.0,"GCN_circulars,Swift Det",165.31108333333336,Swift,51.68566666666667,Swift,6.472091691453557e-05,Swift,16.2,Swift,,,71582.0,Swift,1.2e-06,Swift,,,0.767,"GCN_circulars,Optical",16.2,0,54586.82849537037,"GCN_circulars,Swift Det"
38,39,GRB080503A,,44773.0,"GCN_circulars,Swift Det",286.61941666666667,Swift,68.79308333333333,Swift,0.00020710693412651383,Swift,170.0,Swift,,,44773.0,Swift,2e-06,Swift,,,,,170.0,0,54589.51820601852,"GCN_circulars,Swift Det"
39,40,GRB080506A,,63981.0,"GCN_circulars,Swift Det",329.4243333333333,Swift,38.98502777777778,Swift,6.472091691453557e-05,Swift,150.0,Swift,,,63981.0,Swift,1.2999999999999998e-06,Swift,,,,,150.0,0,54592.74052083334,"GCN_circulars,Swift Det"
40,41,GRB080507A,,27900.0,"GCN_circulars,superAGILE",233.72083333333336,IPN,56.416666666666664,IPN,0.05,IPN,,,,,,,,,,,,,,0,54593.322916666664,"GCN_circulars,superAGILE"
41,42,GRB080514B,,35758.672,"GCN_circulars,Konus-Wind Det",322.8208333333333,IPN,0.7333333333333333,IPN,0.2833333333333333,IPN,,,,,,,,,,,,,,0,54600.41387351852,"GCN_circulars,Konus-Wind Det"
42,43,GRB080515A,,21673.0,"GCN_circulars,Swift Det",3.166,Swift,32.564,Swift,0.01242641604759083,Swift,21.0,Swift,,,21673.0,Swift,2e-06,Swift,,,,,21.0,0,54601.25084490741,"GCN_circulars,Swift Det"
43,44,GRB080513A,,18849.927,"GCN_circulars,Konus-Wind Det",163.283,"GCN_circulars,IPN Triangulation",28.195,"GCN_circulars,IPN Triangulation",,,,,,,,,,,,,,,,0,54599.218170451386,"GCN_circulars,Konus-Wind Det"
44,45,GRB080516A,,1027.0,"GCN_circulars,Swift Det",120.64250000000001,Swift,-26.159805555555554,Swift,0.0001941627507436067,Swift,5.8,Swift,,,1027.0,Swift,2.6e-07,Swift,,,3.2,,5.8,0,54602.01188657407,"GCN_circulars,Swift Det"
45,46,GRB080517A,,76971.0,"GCN_circulars,Swift Det",102.24195833333333,Swift,50.73522222222222,Swift,0.00020710693412651383,Swift,64.6,Swift,,,76971.0,Swift,5.599999999999999e-07,Swift,,,0.089,IPN,64.6,0,54603.890868055554,"GCN_circulars,Swift Det"
46,47,GRB080520A,,80424.0,"GCN_circulars,Swift Det",280.1929166666667,Swift,-54.99194444444444,Swift,6.472091691453557e-05,Swift,2.8,Swift,,,80424.0,Swift,5.5e-08,Swift,,,1.545,,2.8,0,54606.93083333333,"GCN_circulars,Swift Det"
47,48,GRB080523A,,76911.0,"GCN_circulars,Swift Det",20.79808333333333,Swift,-64.0308888888889,Swift,0.0001941627507436067,Swift,102.0,Swift,,,76911.0,Swift,8.8e-07,Swift,,,,,102.0,0,54609.890173611115,"GCN_circulars,Swift Det"
