trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
105,141.4,7.5,7.8,1.26,0.1,0.11,2.39E+52,4.30E+51,5.20E+51
109,385.4,18.8,20.7,1.98,0.17,0.2,3.10E+53,6.00E+52,8.20E+52
111,97.2,20.6,21.7,11.23,6.51,33.87,3.32E+53,2.87E+53,6.72E+54
130,182.2,7.1,7.4,5.17,0.57,0.68,2.97E+53,7.10E+52,9.90E+52
133,73.9,28.3,25.4,4.53,2.89,9.47,3.92E+52,3.58E+52,4.82E+53
143,620.8,10.5,10.8,1.36,0.03,0.04,5.04E+53,3.10E+52,3.30E+52
160,207.9,15.2,16.5,4.39,0.78,1.1,2.94E+53,1.10E+53,2.03E+53
179,198.2,27.6,29.4,8.46,3.41,8.12,8.24E+53,5.74E+53,2.93E+54
219,20.9,9.6,9.2,0.11,0.05,0.05,1.27E+50,9.40E+49,1.58E+50
222,280.7,45.3,41.1,9.7,4.55,10.46,2.12E+54,1.62E+54,8.76E+54
228,42.1,21.9,14.9,1.09,0.65,0.65,1.82E+51,1.62E+51,3.90E+51
249,261.1,10,10.5,1.05,0.06,0.06,6.75E+52,8.30E+51,9.90E+51
332,84,14.8,17.3,3.88,1.38,2.9,3.95E+52,2.56E+52,1.07E+53
351,59.4,26.1,40.5,1.07,0.56,1.47,3.56E+51,2.96E+51,2.58E+52
394,323.6,8.8,9,7.3,0.68,0.8,1.69E+54,3.40E+53,4.60E+53
398,122.9,34.6,39.7,5.11,2.79,11.11,1.32E+53,1.12E+53,1.71E+54
408,75.1,13.2,14,2.34,0.68,1.03,1.47E+52,8.40E+51,2.08E+52
451,134.4,7.8,8.3,0.76,0.05,0.06,1.32E+52,2.20E+51,2.70E+51
467,311.3,22.9,25.6,7.22,1.65,2.69,1.54E+54,6.90E+53,1.63E+54
469,227.8,84.9,166.6,3.16,1.81,25.84,2.11E+53,1.84E+53,3.26E+55
493,144.2,33,25.4,11.94,7.34,22.92,8.16E+53,7.25E+53,7.86E+54
501,72.5,6.7,10.2,2.4,0.4,0.77,1.43E+52,5.10E+51,1.37E+52
503,494.7,52.3,65.1,6.1,1.74,3.65,2.90E+54,1.58E+54,5.60E+54
543,253,8.3,8.7,2.54,0.16,0.18,1.88E+53,2.80E+52,3.50E+52
548,158.3,12.5,13.4,10.1,2.86,5.08,7.24E+53,3.86E+53,1.09E+54
577,117,27.2,36.2,5.58,2.76,12.48,1.39E+53,1.11E+53,1.86E+54
647,200.6,5.9,6,3.11,0.2,0.22,1.59E+53,2.30E+52,2.80E+52
658,88.1,31.2,25.4,3.91,2.29,4.96,4.39E+52,3.87E+52,2.51E+53
659,62.2,15.6,1.6,2.82,1.18,0.16,1.33E+52,9.70E+51,1.90E+51
660,282.8,24.1,27.2,9.23,2.66,5.11,1.96E+54,1.06E+54,3.34E+54
676,321.1,9.9,10.1,9.69,1.19,1.47,2.76E+54,7.10E+53,1.04E+54
680,82.1,26,30,4.33,2.43,9.59,4.49E+52,3.87E+52,6.12E+53
692,107.1,21.9,25,9.65,5.23,25.63,3.05E+53,2.55E+53,5.09E+54
704,132.7,13.6,30.5,3.69,0.82,3.1,9.09E+52,4.10E+52,2.88E+53
764,100.6,29.6,11.4,5.93,3.46,2.85,1.14E+53,1.00E+53,1.68E+53
773,70.9,9.9,21.4,2.25,0.53,1.79,1.24E+52,6.00E+51,3.82E+52
795,109.3,31.7,32.6,6.95,4.2,20.01,1.77E+53,1.57E+53,3.52E+54
825,71.1,27.8,36.9,3.21,1.91,9.82,2.10E+52,1.87E+52,5.19E+53
829,127.7,1.2,0.8,1.85,0.03,0.02,3.11E+52,1.30E+51,8.00E+50
841,102.2,11.1,12.8,1.3,0.2,0.26,1.30E+52,4.40E+51,7.50E+51
869,235.2,25.8,28.7,8.03,2.66,5.5,1.06E+54,6.40E+53,2.39E+54
907,211.9,7.1,7.4,4.98,0.47,0.55,3.77E+53,7.80E+52,1.05E+53
914,88.8,16.3,17.3,1.7,0.46,0.64,1.35E+52,7.30E+51,1.60E+52
973,289.4,11.4,11.9,4.72,0.5,0.6,6.44E+53,1.48E+53,2.08E+53
999,262.8,16.1,17.8,1.72,0.17,0.21,1.20E+53,2.70E+52,3.80E+52
1025,153.2,7.1,7.5,1.18,0.08,0.09,2.62E+52,4.00E+51,5.00E+51
1036,99.7,28.7,33.2,3.14,1.51,3.97,4.00E+52,3.18E+52,2.33E+53
1039,93.9,3.5,3.8,5.51,0.6,0.76,8.78E+52,2.09E+52,3.08E+52
1042,47.9,6.4,7.4,1.3,0.24,0.33,2.85E+51,1.14E+51,2.11E+51
1085,227.2,1.8,1.9,0.93,0.01,0.01,4.50E+52,1.20E+51,1.20E+51
1114,106.2,7.6,8.1,4.29,0.75,1,7.39E+52,2.69E+52,4.72E+52
1122,170.7,4.5,4.7,1.54,0.07,0.07,4.42E+52,4.40E+51,5.00E+51
1141,417.6,9.6,9.9,6.25,0.46,0.52,2.15E+54,3.50E+53,4.40E+53
1145,77.7,48.2,28.6,2.56,1.96,3.07,1.80E+52,1.75E+52,9.87E+52
1148,191.6,39.1,33.7,9.77,5.31,14.63,9.98E+53,8.36E+53,6.69E+54
1150,66.5,3,3.6,1.54,0.11,0.14,6.71E+51,1.10E+51,1.57E+51
1156,87.6,29.5,33,6.93,4.55,38.83,1.13E+53,1.04E+53,7.35E+54
1157,236.8,9.1,9.5,1.82,0.12,0.13,1.05E+53,1.60E+52,1.90E+52
1159,254.4,20.1,23.1,9.96,2.8,5.45,1.82E+54,9.70E+53,3.04E+54
1190,121.9,11.7,12.5,2.67,0.48,0.64,4.70E+52,1.80E+52,3.18E+52
1197,92.3,39.8,32.6,3.7,2.42,6.25,4.43E+52,4.09E+52,3.95E+53
1200,90.1,11.6,18.3,3.98,1.11,3.01,4.72E+52,2.56E+52,1.29E+53
1218,116.1,5,5,11.11,1.98,2.64,4.64E+53,1.67E+53,2.85E+53
1235,122.1,9.9,11.5,2.25,0.32,0.44,3.70E+52,1.17E+52,2.02E+52
1244,30.7,23.9,39,0.85,0.69,2.47,7.55E+50,7.40E+50,2.05E+52
1288,354.7,22.8,24.3,9.29,2.13,3.34,3.13E+54,1.41E+54,3.14E+54
1303,195.5,52.9,31.6,11,7.21,16.12,1.29E+54,1.18E+54,8.27E+54
1384,103.5,20.7,15.1,8.14,4.13,7.34,2.10E+53,1.70E+53,6.87E+53
1396,105.9,24.3,23.5,4.05,1.78,3.53,6.70E+52,5.04E+52,2.22E+53
1406,106.9,13.4,10.8,1.91,0.39,0.37,2.28E+52,9.70E+51,1.23E+52
1416,104.3,28.7,32.4,2.96,1.34,3.15,4.00E+52,3.08E+52,1.81E+53
1419,145.6,27.3,32.5,2.31,0.71,1.27,5.46E+52,3.24E+52,1.02E+53
1425,185.9,8.9,9.3,2.19,0.19,0.21,8.23E+52,1.63E+52,2.11E+52
1432,62.3,16,22.5,2.91,1.25,3.88,1.39E+52,1.04E+52,8.85E+52
1440,271.2,6.5,6.7,2.52,0.12,0.13,2.14E+53,2.40E+52,2.80E+52
1443,163.3,25.1,29,3.47,1.06,1.95,1.25E+53,7.30E+52,2.32E+53
1467,140.8,30.3,47.6,2.33,0.81,2.25,5.15E+52,3.34E+52,2.08E+53
1472,142.7,19.5,21.7,9.64,4.04,10.99,5.41E+53,3.86E+53,2.42E+54
1533,149.9,23.2,25.3,3.28,0.98,1.65,9.68E+52,5.57E+52,1.57E+53
1540,112.7,20.5,16.8,7.54,3.51,6.53,2.17E+53,1.67E+53,6.76E+53
1541,39.8,15.5,48.8,0.18,0.07,0.26,5.17E+50,3.47E+50,3.31E+51
1574,98.5,7.2,20.7,6.92,1.54,9.62,1.43E+53,6.30E+52,8.83E+53
1578,179.8,8.9,9.4,3.75,0.43,0.54,1.71E+53,4.30E+52,6.40E+52
1579,314,88.5,169.9,2.11,0.89,3.9,2.24E+53,1.65E+53,2.48E+54
1614,144.8,35.7,31.7,7.56,4.26,12.58,3.60E+53,3.09E+53,2.91E+54
1625,580.6,8.2,8.4,2.2,0.06,0.06,8.10E+53,5.10E+52,5.60E+52
1626,157.7,29.8,36.7,7.45,3.54,13.67,4.16E+53,3.24E+53,3.92E+54
1628,133.1,50,44.2,5.33,3.49,13.01,1.67E+53,1.54E+53,2.59E+54
1651,56.3,24.8,17.7,0.54,0.26,0.21,1.75E+51,1.37E+51,2.17E+51
1652,184.8,7.3,7.6,2.95,0.24,0.28,1.25E+53,2.30E+52,3.00E+52
1660,90.4,18.9,33.4,2,0.64,1.91,1.72E+52,1.06E+52,6.92E+52
1663,448.7,8.3,8.9,2.78,0.11,0.12,6.74E+53,6.10E+52,7.20E+52
1683,353.2,16.2,17.1,11.69,2.26,3.26,4.71E+54,1.81E+54,3.47E+54
1709,204.6,5.5,5.6,2,0.1,0.1,8.83E+52,9.90E+51,1.13E+52
1712,212.3,21.5,23.1,10.31,3.57,7.46,1.35E+54,8.40E+53,3.23E+54
1717,166.4,14,15.7,4.48,0.91,1.39,1.95E+53,8.10E+52,1.72E+53
1734,90,20.3,22.2,3.81,1.63,3.66,4.40E+52,3.24E+52,1.68E+53
1807,149.6,21.5,14.9,4.11,1.27,1.28,1.37E+53,8.10E+52,1.22E+53
1815,201.1,20.8,24.8,3.21,0.68,1.08,1.68E+53,7.30E+52,1.67E+53
1883,211.6,10.2,10.6,3.25,0.34,0.4,1.90E+53,4.40E+52,6.10E+52
1885,103.8,41.8,30.8,8.17,6.05,30.64,2.13E+53,2.04E+53,6.53E+54
1886,488.8,6.4,6.5,2.1,0.05,0.05,5.38E+53,3.10E+52,3.30E+52
1922,170,25.4,27.6,10.21,4.63,13.88,8.52E+53,6.40E+53,4.92E+54
1924,80,41.2,22.8,2.29,1.52,1.71,1.62E+52,1.51E+52,4.58E+52
1956,143.8,16.5,18.5,4.47,1.19,2.02,1.45E+53,7.60E+52,2.02E+53
1967,119.5,7,7.8,5.28,0.85,1.2,1.32E+53,4.50E+52,8.00E+52
1974,53.8,2.5,3.3,0.67,0.04,0.05,1.90E+51,2.60E+50,3.80E+50
1989,97.4,11.6,24,1.98,0.38,1.1,1.97E+52,8.10E+51,3.76E+52
1993,57.1,12.4,2.8,1.62,0.5,0.14,5.25E+51,3.15E+51,1.14E+51
1997,31,11.4,14.5,0.28,0.11,0.14,3.65E+50,2.42E+50,6.11E+50
2018,53.4,2.7,3.6,1.79,0.15,0.22,5.22E+51,1.01E+51,1.67E+51
2037,103.9,22.2,35.1,0.57,0.14,0.24,6.20E+51,3.00E+51,8.67E+51
2047,70,24.5,18.6,1.63,0.76,0.87,7.94E+51,6.25E+51,1.46E+52
2053,186.6,21.6,17.4,7.93,2.72,3.74,6.51E+53,4.05E+53,9.17E+53
2061,223.8,56.1,58.8,4.53,2.21,5.75,3.60E+53,2.87E+53,2.03E+54
2067,271.2,2.3,2.3,1.77,0.03,0.03,1.32E+53,5.00E+51,5.00E+51
2074,139.8,41.1,57.3,5.3,3,21.63,1.82E+53,1.57E+53,6.92E+54
2080,345.8,27.6,30,11.55,3.49,6.69,4.42E+54,2.47E+54,7.84E+54
2083,332.5,4.8,4.9,1.06,0.02,0.02,1.10E+53,5.00E+51,6.00E+51
2090,230.1,8.3,8.6,2.46,0.17,0.19,1.48E+53,2.40E+52,2.90E+52
2102,134.2,20.5,27.4,4.84,1.68,4.4,1.44E+53,9.20E+52,4.98E+53
2106,174.8,19.6,28.2,8.01,2.69,8.35,5.83E+53,3.56E+53,2.33E+54
2111,105.5,16.2,5.1,7.9,3.32,1.68,2.07E+53,1.49E+53,1.14E+53
2119,136.9,9,7.6,8.36,1.87,2.18,3.85E+53,1.70E+53,2.67E+53
2122,101.9,26.8,39,1.3,0.45,0.94,1.29E+52,8.40E+51,3.62E+52
2123,104.3,14.8,15.7,3.48,1,1.59,5.12E+52,2.84E+52,7.32E+52
2138,238.4,12,19.9,2.46,0.24,0.45,1.60E+53,3.50E+52,8.00E+52
2148,90,56.9,54.4,2.27,1.72,5.65,2.03E+52,1.97E+52,3.69E+53
2151,146.8,3.5,3.6,0.3,0.01,0.01,8.60E+51,5.10E+50,5.30E+50
2156,381.2,9.4,9.8,2.4,0.11,0.12,3.94E+53,4.40E+52,5.10E+52
2188,97.7,22.2,14.5,10.2,5.97,11.82,2.81E+53,2.44E+53,1.28E+54
2197,50.5,30.5,35.3,1.72,1.23,3.96,4.43E+51,4.22E+51,7.26E+52
2211,103,14.4,2.3,2.78,0.72,0.14,3.55E+52,1.83E+52,4.40E+51
2213,300.5,25.5,27.3,9.97,2.96,5.45,2.55E+54,1.41E+54,4.24E+54
2228,192.7,13.3,14.7,2.18,0.27,0.34,8.83E+52,2.41E+52,3.69E+52
2232,228.3,32.6,35.4,3.87,1.16,1.99,2.90E+53,1.67E+53,4.77E+53
2253,117.2,22.2,13.1,7.86,3.81,4.69,2.53E+53,1.99E+53,4.78E+53
2254,147.6,34.5,23.4,3.41,1.44,1.64,9.96E+52,7.31E+52,1.52E+53
2267,83.6,43.9,42.5,3.03,2.14,8.03,2.66E+52,2.53E+52,5.15E+53
2276,32.3,14.7,15.4,0.88,0.45,0.66,8.60E+50,7.13E+50,2.56E+51
2277,157.4,30.4,10,9.83,5.19,3.37,6.81E+53,5.61E+53,6.45E+53
2287,139.9,31.9,35.8,3.81,1.63,3.86,1.06E+53,7.90E+52,4.38E+53
2309,207.4,37,28.1,8.7,4.19,7.47,9.49E+53,7.43E+53,2.89E+54
2315,165.4,9.4,9.9,10.48,2.3,3.48,8.46E+53,3.64E+53,7.67E+53
2316,138.6,1.3,1.5,2.05,0.03,0.04,4.19E+52,1.70E+51,2.10E+51
2321,208,7.5,7.8,2.64,0.19,0.21,1.35E+53,2.20E+52,2.80E+52
2328,125.4,17.9,21.6,5.6,1.96,4.54,1.61E+53,1.02E+53,4.68E+53
2329,896.8,11.9,12.2,2.64,0.07,0.07,2.49E+54,1.60E+53,1.70E+53
2340,109.7,6.3,5.9,3.88,0.52,0.58,6.73E+52,1.96E+52,2.64E+52
2345,129.4,20.5,25.4,4.17,1.4,3.12,1.05E+53,6.50E+52,2.81E+53
2346,116.7,22.1,24.7,2.46,0.78,1.32,3.83E+52,2.32E+52,6.89E+52
2362,65,5.7,5,1.03,0.12,0.11,4.09E+51,1.07E+51,1.20E+51
2367,134.2,16.6,10.2,3.83,1.02,0.84,9.88E+52,5.15E+52,5.88E+52
2380,89.5,42.9,40.3,4.02,2.84,12.71,4.73E+52,4.49E+52,1.19E+54
2387,181.7,8,8.4,3.76,0.39,0.47,1.76E+53,4.00E+52,5.60E+52
2393,53.2,2.1,2,0.75,0.04,0.04,2.02E+51,2.30E+50,2.50E+50
2394,161.9,33,31.2,8.19,4.22,11.83,5.20E+53,4.23E+53,3.35E+54
2423,67.6,33.5,26.2,2.74,1.84,3.83,1.50E+52,1.40E+52,1.03E+53
2429,127.3,61.1,52.4,5.57,4.17,25.58,1.64E+53,1.58E+53,7.67E+54
2430,53.5,28.9,27.1,1.29,0.81,1.34,3.51E+51,3.20E+51,1.66E+52
2431,96.2,14,15.3,0.47,0.08,0.09,4.68E+51,1.61E+51,2.41E+51
2432,61.1,21.8,33.6,1.48,0.69,1.93,5.38E+51,4.22E+51,3.55E+52
2435,105.2,26.3,19.8,2.5,1,1.18,3.19E+52,2.27E+52,4.84E+52
2436,320.2,73.8,49,6.88,3.62,5.68,1.49E+54,1.23E+54,4.39E+54
2438,64.1,3.8,3.6,1.26,0.11,0.11,4.94E+51,9.70E+50,1.10E+51
2443,180.9,22.1,28.2,3.08,0.74,1.33,1.28E+53,6.20E+52,1.72E+53
2446,276,11.4,11.8,10.12,1.65,2.23,2.21E+54,7.40E+53,1.25E+54
2451,153.9,36.1,43.2,5.49,2.72,9.83,2.34E+53,1.88E+53,2.19E+54
2453,81.9,15,12.7,4.68,1.84,2.82,5.09E+52,3.54E+52,1.01E+53
2458,28.7,11.2,40.4,0.56,0.24,1.36,4.74E+50,3.49E+50,9.12E+51
2460,73,48.3,27.9,3.35,2.73,5.77,2.36E+52,2.32E+52,2.21E+53
2476,65.3,1.4,1.3,1.43,0.05,0.04,5.89E+51,4.60E+50,4.60E+50
2477,118,7,4.1,11.06,2.59,2.02,4.75E+53,2.16E+53,2.18E+53
2482,118.3,7.1,8.4,7.11,1.36,2.21,2.16E+53,8.40E+52,1.86E+53
2500,118.5,20.2,18.8,7.29,3.2,6.71,2.26E+53,1.68E+53,7.69E+53
2510,68.5,31,46.2,1.48,0.83,2.67,6.76E+51,5.86E+51,7.51E+52
2511,59.6,39,48,1.29,0.95,2.73,4.38E+51,4.20E+51,6.42E+52
2519,148.4,25.9,27.5,10.24,5.15,17.93,6.53E+53,5.22E+53,5.52E+54
2530,205.8,53.8,52.6,5.88,3.19,9.6,4.70E+53,3.96E+53,3.78E+54
2533,380.4,5.6,5.7,4.36,0.17,0.18,9.76E+53,8.80E+52,1.00E+53
2537,103.6,5.3,6.1,0.56,0.03,0.04,6.11E+51,8.60E+50,1.08E+51
2570,212.6,17.2,20.8,3.47,0.61,0.94,2.12E+53,7.80E+52,1.62E+53
2586,297.9,12.1,12.7,6.63,0.86,1.09,1.21E+54,3.30E+53,5.10E+53
2593,72.3,4,4.2,2.21,0.22,0.26,1.26E+52,2.80E+51,3.90E+51
2600,102.9,11.7,4.6,4.69,1.26,0.65,8.04E+52,4.21E+52,2.86E+52
2603,82.2,1.4,1.3,1.48,0.04,0.04,9.72E+51,6.40E+50,5.90E+50
2611,550.4,15.2,15.4,2.9,0.17,0.18,1.08E+54,1.50E+53,1.70E+53
2620,73.7,4.7,4.6,2.72,0.34,0.39,1.77E+52,4.90E+51,6.60E+51
2628,170.5,9.2,9.1,1.9,0.17,0.19,5.72E+52,1.19E+52,1.48E+52
2634,51,13.9,6.8,0.78,0.25,0.14,1.93E+51,1.18E+51,9.60E+50
2640,30.1,20.1,36.8,0.72,0.51,1.71,6.28E+50,5.94E+50,1.17E+52
2660,88.2,14.2,12.6,5.63,2.16,3.51,8.03E+52,5.45E+52,1.65E+53
2662,123.4,28.7,40.3,4.62,2.15,8.91,1.13E+53,8.80E+52,1.22E+54
2665,98.6,6.3,5.9,1.19,0.11,0.11,1.10E+52,2.30E+51,2.60E+51
2696,116.8,13.6,14.3,7.67,2.61,5.06,2.41E+53,1.49E+53,5.19E+53
2697,93.5,25.9,24,4.98,2.67,6.74,7.34E+52,6.16E+52,4.51E+53
2700,197.6,47.4,67.4,2.62,1.03,2.85,1.20E+53,8.40E+52,5.70E+53
2703,236.2,63.1,56.2,6.94,4,12.16,8.25E+53,7.16E+53,7.29E+54
2706,157.4,20.3,23.5,10.43,4.32,12.52,7.59E+53,5.36E+53,3.65E+54
2709,189.6,13,14.4,10.2,2.58,4.49,1.06E+54,5.10E+53,1.34E+54
2711,101.7,23.6,38,5.06,2.42,14.89,8.91E+52,7.02E+52,1.92E+54
2728,159.5,44.8,46,7.75,4.74,24.43,4.57E+53,4.07E+53,1.05E+55
2736,185.4,34.8,38,3.53,1.27,2.43,1.66E+53,1.09E+53,4.03E+53
2749,48.9,8.1,29.9,1.35,0.31,1.89,3.08E+51,1.47E+51,2.31E+52
2760,65.7,10.9,3.9,2.85,0.85,0.39,1.50E+52,8.70E+51,5.40E+51
2774,63.5,22.4,20.9,1.93,0.94,1.53,8.13E+51,6.56E+51,2.51E+52
2790,217.1,15.6,16,6.77,1.47,2.11,6.68E+53,2.90E+53,5.77E+53
2797,273.7,9.3,9.8,3.2,0.24,0.27,3.10E+53,5.30E+52,6.70E+52
